key.country_id,vertical_name,key.gender,key.age,value.bounces,value.visits,value.new_visitors,value.transactions
US,/Reference,female,35-44,3246673,8171759,5286123,33082
US,/Reference,female,45-54,3052855,8806574,4937620,39913
US,/Reference,female,55-64,3861854,11824446,6153501,42370
US,/Reference,female,65+,3130193,10217487,4320329,29013
US,/Reference,male,18-24,2377551,5091282,3146373,6956
US,/Reference,male,25-34,4000543,8298041,5181445,22291
US,/Reference,male,35-44,2148017,4909133,3226755,19814
US,/Reference,male,45-54,3013805,7976960,4921092,37814
US,/Reference,male,55-64,2434108,6770299,3938423,27808
US,/Reference,male,65+,2442007,6981212,3426310,23970
US,/Real Estate,female,18-24,5359138,13550913,6558372,549
US,/Real Estate,female,25-34,11117639,25978763,11209082,1783
US,/Real Estate,female,35-44,5572226,13151466,6023044,2251
US,/Real Estate,female,45-54,4036909,9452830,4161952,2486
US,/Real Estate,female,55-64,5011893,12017037,4972001,2040
US,/Real Estate,female,65+,2087417,5055773,2079115,1045
US,/Real Estate,male,18-24,1953876,4848530,2581287,191
US,/Real Estate,male,25-34,7611009,18295196,7651559,1486
US,/Real Estate,male,35-44,4301698,9906277,3848272,1314
US,/Real Estate,male,45-54,3560145,8261141,3717875,2313
US,/Real Estate,male,55-64,2645253,6351520,2771352,1366
US,/Real Estate,male,65+,1368028,3318455,1448407,1312
US,/Pets & Animals,female,18-24,2886379,5013970,3507914,23581
US,/Pets & Animals,female,25-34,4921035,8500637,5706786,57438
US,/Pets & Animals,female,35-44,2479310,4449764,2768864,30047
US,/Pets & Animals,female,45-54,3341144,5844132,3035678,40548
US,/Pets & Animals,female,55-64,3955628,7247325,3843075,62692
US,/Pets & Animals,female,65+,2011251,3797260,1907382,33477
US,/Pets & Animals,male,18-24,1697143,2901900,1888429,35668
US,/Pets & Animals,male,25-34,3470288,6485641,3538444,51753
US,/Pets & Animals,male,35-44,1082144,2221758,1260122,18149
US,/Pets & Animals,male,45-54,1050636,2207207,1318603,20633
US,/Pets & Animals,male,55-64,806012,1734338,1075088,18984
US,/Pets & Animals,male,65+,605642,1338412,830870,13955
US,/People & Society,female,18-24,12630049,20831762,12449434,27932
US,/People & Society,female,25-34,22315019,37713280,19838165,92442
US,/People & Society,female,35-44,11164743,19778756,9983731,69587
US,/People & Society,female,45-54,6800400,12424572,5770102,36893
US,/People & Society,female,55-64,6321393,11721874,5493071,48159
US,/People & Society,female,65+,3339069,6458103,2759987,29536
US,/People & Society,male,18-24,8935989,17984882,7071173,16085
US,/People & Society,male,25-34,19282386,39184141,13847217,47358
US,/People & Society,male,35-44,6065865,11660006,5104595,37950
US,/People & Society,male,45-54,6145187,12087107,5061738,53530
US,/People & Society,male,55-64,4514545,8938691,3491417,42828
US,/People & Society,male,65+,3977238,8081749,2885452,32013
US,/Online Communities,female,18-24,10629040,39234559,6969223,5798
US,/Online Communities,female,25-34,6941022,15072593,4420793,14711
US,/Online Communities,female,35-44,3242854,7445515,2443092,7527
US,/Online Communities,female,45-54,2597724,6601993,1733470,4339
US,/Online Communities,female,55-64,2586452,5202038,1863468,3830
US,/Online Communities,female,65+,1661076,3275981,1273234,1053
US,/Online Communities,male,18-24,24091820,48699118,11902687,8155
US,/Online Communities,male,25-34,23247098,43650709,10678955,31712
US,/Online Communities,male,35-44,7659119,14809101,4609125,16957
US,/Online Communities,male,45-54,9085994,21709677,4374014,40692
US,/Online Communities,male,55-64,5624080,12502529,2657084,34176
US,/Online Communities,male,65+,4497316,8442318,2203104,20740
US,/News,female,18-24,28409550,56337756,11921177,2147
US,/News,female,25-34,90308152,180752157,27920650,1643
US,/News,female,35-44,70446581,142708806,15834343,1175
US,/News,female,45-54,42176409,90531030,11382071,2115
US,/News,female,55-64,28294208,61488122,10814009,3513
